slug,code_commune,nom_ville,date,auteur,note_moyenne,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie,points_positifs,points_negatifs
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,20-02-2025,Sound system,8.75,9,,,,,,,,,"En plein centre ville,  métro,  bus,  tram,  le vieux port et ses bars et restaurants,  nombreuses animations tout au long de l'année. 
Le bonheur d'y vivre,  des monuments bien entretenus,  des espaces verts résistants ,  des infrastructures modernisées et un soleil magnifique.","Des jeunes à moto, le manque de mixité."
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,15-02-2025,Salazo,8.63,9,,,,,,,,,"Le 1er arrondissement de Marseille est souvent apprécié pour sa centralité et son dynamisme. Une étudiante a partagé un avis positif,  soulignant que l'arrondissement est idéalement situé dans l'hyper centre de Marseille,  avec tous les services nécessaires à proximité : la gare Saint-Charles,  des métros,  des trams,  des hôpitaux,  et de nombreux commerces. De plus,  il abrite plusieurs facultés,  dont le nouveau campus de la porte d'Aix,  ce qui en fait un lieu attractif pour les étudiants.",Noailles impossible de circuler.
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,09-10-2023,Une étudiante lambda,8.25,7,,,,,,,,,"Hyper centre de Marseille,  il y a tout ce qu'il faut : gare St-Charles,  métros et trams,  hôpitaux,  commerces 
 
-Plein de facultés et notamment le nouveau campus de la porte d'Aix... 
 
-Quartiers emblématiques comme le Vieux-Port avec plein de bons restos et très joli (et propre aussi) ! 
 
-Plusieurs parcs comme celui de Longchamps,  celui du centre commercial des Bourses...","-Certaines rues/quartiers dangereux et envahis par les dealers et toxicos,  par exemple là où il y a eu la fac de droit de Colbert,  et puis la gare St-Charles qui craint un peu le soir... 
 
-Assez sale."
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,07-03-2023,jmarseille13,8.19,7,,,,,,,,,"Très bien desservi et tout est à proximité 
Parc Longchamp est un vrai plus 
Vie culturelle et beaucoup de resto  
Quartier animé,   nombreux marchés 
Commerces nombreux 
Possible de tout faire à pied 
Quartier touristique.","Propreté laisse à désirer 
État des routes mais ce sont des points généraux à tout Marseille."
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,05-03-2023,Setyte,2.44,2,,,,,,,,,On est en centre ville donc on peut aller partout.,"La sécurité,  l'incivilité,  le prix dans les commerces et le prix des loyers. Tout est devenu cher à cause des bobos et des touristes ce n'est plus un quartier populaire. Ce qui engendre aussi du coup de la mauvaise fréquentation. Agression verbale mais aussi physique. Beaucoup de drogués et d'alcooliques. Traînent jour et nuit. Alors on évite de sortir alors qu'il y a énormément d'endroits resto et théâtre où on pourrait aller."
marseille-1er-arrondissement,13201,Marseille 1Er Arrondissement,18-10-2022,Zibradu06,0.81,1,,,,,,,,,C'est impossible de noter cette ville en positif.,"On habite dans un quartier de Nice et pourtant on est venu ici hier soir pour y rester juste 48 heures, on a été choqué, on est reparti au bout de 12 heures. 
 
Je comprends pas du tout comment on peut aimer vivre dans une ville où ça traîne jusqu'à 5 heure du matin,  ça fume le shit en conduisant,  les scooter aucun n'a les gants ,  ça klaxonne à 3 h du matin pour dire bonjour à son pote en hurlant au passage, ils grillent aussi les feux rouges devant la police nationale qui en a clairement rien à faire, les trottoirs évidemment impossible de marcher parce que les voitures sont garées dessus, jusqu'à devant les rideaux de fer des commerces. 
Énormément de commerces fermés définitivement, on a cherché pendant 1h30 pour trouver un snack pas crade,  ça roule minimum à 90 Kmh en ville ,  les rues sont très mal faites il faut faire un détour de 3 km pour pouvoir aller d'un bout à l'autre du port en voiture parce que beaucoup de rues fermées et sens unique sur le port 
C'est un désastre cette ville 
Les rats de partout les mecs qui te demande des sous à la fenêtre de la voiture et insistent si tu dis que tu as pas (cherche bien stp frero) 
Si vous aimez la street allez ici 
Si vous tenez à vivre au moins 30 ans installez vous ailleurs (Mais pas à Nice parce que dans 10ans c'est pareil chez nous )."
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,03-03-2025,Chlo,6.00,0,,,,,,,,,"Personnellement,  je trouve que c'est l'un des quartiers les plus agréables de Lyon. Avant,  c'était vraiment délabré,  moche et inexistant. Maintenant,  ils en ont fait un endroit joli et agréable. 
 
Tout d'abord,  si tu es sur la Presqu'île,  tu profites d'un cadre aéré et d'un quartier relativement dynamique,  où tout est faisable à pied. On y trouve tous les médecins nécessaires,  on est proche de l'hôpital de la Croix-Rousse,  et il est tout à fait possible de se passer de voiture. 
 
Les magasins (ceux qui restent) sont très jolis,  tout comme les immeubles. Le quartier est bien fréquenté en journée,  et les bars sont super sympas. Honnêtement,  pour moi,  c'est l'un des meilleurs quartiers de Lyon : tout est à proximité,  et la nuit,  ce n'est pas du tout bruyant. 
À la base,  je suis Parisienne,  mais c'est vrai que les Lyonnais peuvent avoir un côté froid. En revanche,  je préfère largement leur mentalité à celle des Marseillais ou d'autres. Ce sont des gens civilisés,  intelligents et cultivés. Ils peuvent parfois être dans l'entre-soi,  mais une fois qu'on intègre leur cercle,  on y est bien accueilli et pour longtemps. 
 
Il n'y a pas du tout ce côté superficiel qu'on peut retrouver dans le Sud,  ni cette mentalité “Snap” qu'on observe à Paris. Ce sont des gens qui ont les pieds sur terre,  avec un esprit à la fois bourgeois et ancré dans le terroir,  ce qui est très agréable. Bien sûr,  selon les quartiers,  on trouve toutes sortes de populations. 
 
Il ne faut pas oublier que Lyon est une ville historiquement catholique,  avec une population relativement bourgeoise et conservatrice,  mêlée à une immigration massive sur trois générations.","Le gros problème du quartier,  qui est à mon avis un problème inhérent au reste de la France et des grandes villes,  c'est qu'il est aujourd'hui quasiment impossible de se garer,  notamment en raison de la future piétonnisation de la ville. Oubliez la voiture,  vous pouvez carrément la vendre,  non seulement à cause de la ZFE,  mais aussi parce que tout est fait pour vous décourager de vous déplacer en voiture. Cela vous cantonne à travailler dans le centre-ville et à y avoir vos amis,  car posséder un véhicule est devenu mission impossible. 
 
Deuxièmement,  si le quartier est bien fréquenté en journée,  la nuit,  dès 19 heures,  c'est une catastrophe. Il est envahi par des bandes,  c'est sale,  il y a des bagarres en permanence. On est proche des pentes de la Croix-Rousse,  donc il y a aussi un grand nombre de migrants. La police fait ce qu'elle peut,  mais malheureusement,  c'est un problème qui concerne la France en général… 
 
D'autre part,  avec la piétonnisation de la ville,  la plupart des magasins,  pourtant très beaux,  ferment les uns après les autres,  et le quartier devient de plus en plus désert. Reste à voir ce qu'il deviendra en juin,  une fois la piétonnisation terminée,  mais pour l'instant,  l'inquiétude grandit. 
 
Enfin,  il faut reconnaître qu'il fait extrêmement chaud. C'est étouffant,  mais ça,  c'est un problème général à Lyon. L'avantage de vivre ici,  c'est qu'on est à proximité de la piscine du Rhône à pied. Mais il est vrai que la chaleur peut être difficile à supporter"
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,01-12-2024,laura,6.44,6,,,,,,,,,"Ville idéalement située en France à 2h de Paris en TGV (pratique côté professionnel pour garder un pied dans le poumon économique de la France),  2h des montagnes en voiture (on peut s'aérer les poumons à la journée lors d'une sortie ski ou rando,  c'est toujours appréciable) et 1h40 de Marseille en TGV pour se la couler douce dans les calanques le temps d'un week-end. 
La ville en elle-même est relativement à taille humaine comparé à Paris,  en 20min (à pied/vélo/métro selon l'endroit),  on peut réaliser 90% des trajets urbains du quotidien. 
Le parc de la tête d'or offre un espace verdoyant et qualitatif très appréciable pour courir. Le Rhône et la Saône apportent un espace aéré rendant la ville plus supportable. 
Côté évènements cette ville offre de nombreux atouts : concerts,  festivals,  événements gastronomiques et musicaux (notamment électro). La fête des lumières et les nuits sonores en sont des exemples iconiques. 
Le quartier Part-Dieu est également en plein renouveau (tours de bureaux récentes,  offrant un côté davantage 'corporate' bien appréciable et redynamisant cette ville un peu morne). 
Le culte de la gastronomie et du vin est bien ancré avec notamment les  restaurants locaux ""bouchons"". 
La métropole de Lyon développe beaucoup des pistes cyclables. C'est très pratique pour se déplacer en ville. Le culte du vélo est bien présent ici. 
Les Lyonnais sont dans l'ensemble des gens relativement civilisés et éduqués comparés à d'autres villes,  notamment Marseille,  où on trouve tout un tas de personnes peu évoluées,  grugeuses,  agressives et superficielles. 
Présence policière en centre-ville assez marquée. 
 
Lyon (et sa métropole) est au final un compromis relativement viable pour vivre en France en mettant dans la balance plusieurs facteurs : socioprofessionnel,  bassin d'emploi dynamique (le 2ème Français pour les cadres après Paris),  qualité de vie,  loisirs,  transports (transports en commun,  LGV,  aéroport,  A6),  accès à la nature,  civisme. 
 
Je parle bien de compromis. Parce que Lyon c'est aussi...","On dit que Lyon est un petit Paris. C'est un peu vrai. Lyon et la banlieue est sont bétonnées. Ilots de chaleur l'été,  pollution. La circulation en voiture est difficile (2ème pire ville après Paris!). 
Certains quartiers dortoirs mornes et bétonnés couplés à la morosité des provinciaux à la mentalité endormie fomentent un désagréable sentiment de déclin social et de dégoût. 
Clairement si vous cherchez l'effervescence,  le dynamisme et le potentiel d'une ville comme Paris (en terme intellectuel,  professionnel,  culturel,  festif et de mentalité réveillée),  ici vous allez être déçus. 
Les vrais Lyonnais ont un tempérament froid et restent dans l'entre-soi,  à la limite de la consanguinité sociale. 
Le coût de l'immobilier atteint des sommets. Certains biens immobiliers bien placés frôlent les 8k€ le m2! 
La gentrification n'apporte que de la déception aux primo-accédants devant s'installer dans des quartiers périphériques mal famés à cause du coût du logement devenu trop onéreux dans les bons quartiers. 
J'invite les politicien(ne)s se disant de gauche à assumer leurs idéaux de mixité sociale et à s'installer avec leur famille dans de tels quartiers et à scolariser leurs enfants dans l'école publique du coin au lieu d'un bon établissement privé.. 
Le quartier Guillotière n'a rien à envier à Barbes et concentre des personnes issues de l'immigration et ne souhaitant pas s'intégrer. 
La banlieue est Lyonnaise (Lyon8,  Villeurbanne,  Vaulx en Velin,  Vénissieux,  St Priest,  Bron) rassemble une bonne partie de la délinquance,  de la pauvreté et de la beaufitude locale. N'allez pas y habiter. 
Comme dans toutes les grandes villes Française de nos jours,  mais particulièrement ici,  vous y trouverez toute une population originale comme des moustachus hipsters intolérants au lactose,  coiffés d'un bonnet en plein mois de juillet et s'habillant dans des friperies ; ou encore des LGBTQIA++ non genrés végétariens aux cheveux roses et dont l'assortiment de la douzaine d'anneaux dans les oreilles se marie très bien avec leurs bottes Dr.Martens et leur pantalon trop court en velours issu de la dernière collection du cirque Pinder. 
Les pentes de la croix rousse et la place des terreaux,  véritable terre promise pour accueillir ces marginaux typés ""art du spectacle"",  vous offriront également des scènes d'expressions politisées très orientées LFI. 
A la place des terreaux,  où vous y trouverez un cocktail d'urine,  de bagarres et de gens alcoolisés tous les soirs,  vous aurez le loisir d'apprécier la convergence de la racaille de banlieue venue faire rugir le moteur de leur BMW louée à la journée. Notons enfin les nombreuses manifestations pro Palestine sur la Presqu'île fin2023 
Bref,  malgré les défauts inhérents aux grandes villes ,  Lyon reste une ville relativement bien tenue dans son ensemble. 
 
 Adresse email invalide !!"
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,01-06-2023,Jeanjeandu34,2.38,2,,,,,,,,,"Lyon ville historique avec des musées,   des monuments,   des transports,   des voitures,   donc du bruit c'est normal,   les inconvénients d'une grande ville. 
Le quartier historique St Jean magnifique mais vous trouverez très bien ailleurs.","Points positifs ou négatifs franchement Lyon 3ème ville de France j'ai honte c'est une belle ville historique mais la mentalité c'est le fric c'est vraiment horrible,  j'habite à Lyon depuis 12 ans je sais de quoi je parle,  aucune hospitalité,  froideur et même un rejet total de  l'étranger je suis un sudiste """""" mais si tu n'es pas content tu dégages on t'a pas sonné"""""" extrême difficulté de communication, je rêve de partir très vite de cette ville toxique. Car la mentalité c'est complètement faux à l'extrême,  atteinte à la vie privée,  crasses entres les gens entres voisins sur la vie privée ou pour de l'argent, cela fini en bastons dans les rues, il y a aussi beaucoup de violence entres les gens,   c'est une ville que je déconseille fortement, pour finir en dépression c'est le top du top."
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,05-01-2021,Canutdu69,8.00,3,,,,,,,,,"La douceur de vivre et le fait de pouvoir tout faire à pieds. L'architecture, la mixité et le côté vivant des pentes. L'authenticité et la sympathie des locaux (même s'ils peuvent paraître froid au premier abord). Le côté village et l'offre culturelle hors du commun. Les établissements scolaires, la proximité des fleuves. Les restos et bars et le côté familial.","C'est triste, mais même si j'aime mon quartier (et ma ville), je dois reconnaître que les rodéos sauvages se multiplient, les incivilités aussi, les forces de l'ordre sont aux abonnés absents, la propreté et la cadre de vie se dégradent. Le manque d'espace vert ainsi que l'absence de terrains de sport sont également problématiques. Merci à Gérard Collomb d'avoir pensé à développer l'attractivité de la ville plutôt que de s'occuper réellement des préoccupations quotidiennes de ses habitants. En espérant que les nouveaux élus se soucieront d'avantage des habitants qu'ils représentent."
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,16-11-2020,Vieuxlyonnais,5.75,8,,,,,,,,,"Jolis quartiers, assez diversifiés entre le quartier Opéra qui est assez festif, Sathonay plus familial, les pentes de la Croix-Rousse avec une jolie offre d'associations culturelles, centre LGBT, librairies, galeries, espaces communautaires... Des épiceries et bureaux de tabac à chaque coin de rue ! Les quais sont très agréables l'été.","Le réseau de transports en commun est assez satisfaisant lorsqu'on se déplace dans la métropole (par contre faut pas être trop pressé), cependant c'est la croix et la bannière pour aller à Venissieux ou sur le campus universitaire de Bron. Et bon courage pour se garer après 20h... mais c'est ce qui fait le charme des pentes. Le plus gros point négatif, je pense, c'est le prix de l'immobilier et des courses qui a flambé (qui achète un kilo de pommes à 3,50€ ?)."
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,16-08-2020,En colère,5.81,0,,,,,,,,,"Quartier vivant et dynamique avec bars, restaurants, commerces tous aussi sympathiques les uns que les autres, pas de gênes sonores ou olfactives de leur part. Clientèle à leur image.","Trottoirs ultra sales (urines canines et humaines, vomis, excréments canins), odeurs nauséabondes. Bruits: poubelles et vidanges des silos à verres très tôt le matin (la Métropole ne fait rien), cris de zombies en pleine nuit, rodéo de grosses cylindrées en pleine nuit, musique à fond de la part de ces bofs dans leur bagnoles la nuit et le jour, vitesse excessive, pas de policiers (sous effectif), pas de radars Quai Jean Moulin, sentiment d'insécurité et d'impunité."
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,21-06-2020,Marshy,7.19,7,,,,,,,,,Lyon 1er.  Quartier avec beaucoup de charme. Un des meilleurs quartiers de la ville sans aucun doute !!! Les pentes de la Croix Rousse sont assez raides mais très sympa.,"depuis quelques temps déjà le quartier a changé malheureusement !! Les jardins des pentes de La Croix Rousse sont envahis par les alcoolos, SDF et surtout drug dealers !!! Les bruits nocturnes sont très réguliers entre les rodéos et sorties de bar !! Le 1er n'est vraiment plus ce qu'il était !!"
lyon-1er-arrondissement,69381,Lyon 1Er Arrondissement,14-01-2020,Renaud_69001,9.38,9,,,,,,,,,"De nombreux commerces bios et locaux. 
Nombreuses librairies et galeries. 
Peu de circulation. 
Un quartier calme surtout au dessus de la place Sathonay. 
De nombreux parcs et espaces verts. 
Incroyable qualité de vie.","La montée de la grande côte à pied ? 
Un peu bruyant en dessous de la place Sathonay. 
Peu de restos sur les pentes-même."
toulouse,31555,Toulouse,02-06-2026,CRICKET,3.75,2,,,,,,,,,Pas grand chose si ce n'est quelques musées et quartiers sympathiques. La présence d'un grand club de rugby est agréable pour les fans de ce sport. Quelques figure locales appréciables.,Investi par les racailles et SDF. Ressemble parfois à une ville du tiers monde. Seau à pisse tout le printemps et chaleur accablante l'été. FUYEZ.
toulouse,31555,Toulouse,09-04-2026,Myriam-Eve,9.44,7,,,,,,,,,"J'y ai vécu 5 ans et j'ai adoré cette ville ! Les Toulousains sont vraiment sympas et accueillants, il y a une bonne ambiance dans la ville. La vie étudiante est riche, et les universités de bon niveau. La vie culturelle est très riche, beaucoup d'artistes reconnus viennent de Toulouse. L'architecture de la ville est sublime, je pense que c'est véritablement une des plus belles villes d'Europe ! Le climat est aussi un gros plus, on a du soleil tout le temps ! Globalement on s'y sent bien, pas de problème particulier d'insécurité (je suis une femme qui sort beaucoup seule le soir à pied) ou de pollution non plus.","Pas grand chose à dire, les loyers sont peut-être un peu chers, mais c'est le lot de toutes les grandes villes..."
toulouse,31555,Toulouse,11-03-2026,Hoshi,4.00,5,,,,,,,,,"Après 6 mois ici, je tenais à donner mon avis et remonter ce que j'ai pu constater des précédents commentaires : 
 
- Concernant les Toulousains, je n'ai jamais rencontré de gens aussi gentils et polis, avec le très bel accent qui va avec 
- Les transports en commun sont propres et efficaces 
- L'hôpital Purpan est de très bonne qualité 
- La ville est sympathique, rien d'extraordinaire mais c'est tout à fait correct 
- Les billets à 1 € pour voyager en Occitanie le premier week-end de chaque mois 
- Le Canal du Midi est très agréable, bien aménagé pour les piétons ainsi que pour les cyclistes.","- Trop d'ocre tue l'ocre, les bâtiments se ressemblent en majorité, aucune distinction, aucun cachet. 
- Je n'ai jamais autant senti la marijuana qu'ici. A croire que c'est légal tellement vous la sentirez partout, surtout aux bords de la Garonne jusqu'au Capitole. 
- En 33 ans en France, je n'avais jamais vu des gens se promener dans les bus avec un couteau auparavant (et j'ai vécu à Nantes 2 ans, qui est supposée dangereuse). 
- Les Toulousains vont tous aux 4,5 mêmes spots car il n'y en a pas plus. On va vous recommander les bords de la Garonne avec une bière ou un livre, encore et encore car il n'y a tout simplement rien à faire ni aucun accès à la nature à moins de 1h30 (peut être si vous allez à Plaisance-du-Touch) ou 2h pour toutes les autres villes Cahors / Lourdes / Carcassonne / Albi etc. Deux rayons de soleil et vous savez que le jardin Compans-Caffarelli /Le Jardin des Plantes et les bords de la Garonne seront noirs de monde. 
- L'endroit le plus politisé dans lequel j'ai vécu. De la politique partout, tout le temps (graffiti, manif, drapeaux, stickers, vêtements). 
- Une absence totale d'événements culturels 
- La température en été que je n'ai pas encore expérimentée pour le moment mais qui semblerait être insupportable sans climatiseur d'après mes collègues 
- Les parcs qui ferment à la moindre goutte d'eau/coup de vent 
- Clairement la ville la plus surcotée de France."
toulouse,31555,Toulouse,19-02-2026,Rose,3.56,3,,,,,,,,,"Joli centre-ville. 
Médecins/hôpitaux, écoles et magasins (souvent en périphérie). 
Le climat est mieux qu'à Lille, c'est sûr. 
Mer/montagne à 2h si vous ne roulez pas comme un fou.","Une ville qui se donne des grands airs, mais n'offre rien d'intéressant. Ça critique les Parisiens, que beaucoup tentent d'imiter, mais on est loin du dynamisme et du panache de la capitale (c'est une Toulousaine qui le dit). Quelques festivals mineurs, des bars étudiants et des restos, souvent chers pour la qualité proposée. L'ambiance est assez clivée : beuveries chez Tonton ou snobinards incultes dans les lieux ""chics"". Offre culturelle ridicule. On s'ennuie ferme dans la 4e ville de France. 
 
• Ville pas sûre: en tant que femme, difficile de rentrer le soir, même tôt, sans se faire ""embêter"". Je n'ose pas aller au cinéma à 20h car j'ai peur de rentrer chez moi à Bonnefoy. Dans le centre, de jeunes ""espoirs"" oisifs hantent le Capitole, Wilson, les berges. Les gens sont tendus, inciviques (reflet de la société). Multiplication des fous et des paumés dans les rues, qui hurlent, vous regardent mal, polluent, défèquent entre 2 voitures ou pissent sur les murs. Quand je sors mon chien le soir, j'ai la boule au ventre. 
 
• Résidences en toc qui poussent partout, aménagements couteux et sans intérêt (esplanade Matabiau moche et inutile — celle de St-Sernin est sympa), ""restos Uber"" qui pullulent (bruits de motos, cris, poubelles pleines, déchets/mégots des livreurs). 
 
• Quartiers qui ont perdu leur âme, où fleurissent kebabs, bouchers halal et magasins low-cost. Idem un peu partout: 1 boulanger dégeu, 1 tacos-pizza, 1 barbier, 1 carrefour, 1 boucher, 1 magasin de vape, 1 chicken-burger, 1 bar à ongles (sic)... Ils remplacent les commerces et cafés de quartier. Les PMU encore ouverts (souvent le seul endroit pour boire un café hors du centre) sont remplis d'hommes qui s'invectivent et toisent les femmes. 
 
Les bd de Strasbourg Jeanne d'Arc sont infréquentables (un énième ""Istanbul"" a remplacé le ""Tchin""). Bonnefoy, St-Cyprien, Marengo et St-Michel ont perdu leur identité. 
Hormis les Carmes, St-Etienne et le Busca, Toulouse ressemble aux abords d'une gare. 
 
• Transports mal pensés. Ville mal desservie. Le dernier bus au bord du Canal est à 21h40, et le métro trop loin, donc adieu les sorties dans le centre le soir, à moins de prendre un taxi (ou de faire du judo!). 
 
• 1 seule pharmacie de nuit dans une ville aussi peuplée. Blessée un lundi soir, j'ai fait la queue pendant 2h. 
 
• Habitants chauvins, alors que la ville n'a plus aucune identité hormis ""ici, on dit chocolatine"". Si on ne rentre pas dans le moule, ça regarde par en dessous. 
 
• Manque de grands espaces verts ""sûrs"" (mieux vaut être en groupe pour aller à la Ramée, Sesquières ou Pech David). Travaux permanents. Piscines mal fréquentées. Environs laids avec peu de plans d'eau pour se baigner. Pour les jolis coins, il faut changer de département (Cordes, Mirepoix). Le reste, c'est des terres agricoles et des villages sans âme."
